 model_row            width        mean_elev            maxWT         mean_rch       max_WT_loc   west_index   east_index
       397        1900.0000           0.6751           0.4512           0.3012         150.0000          180          217
       398        1950.0000           0.6451           0.4497           0.2921         150.0000          179          217
       399        2050.0000           0.6280           0.4471           0.2923         200.0000          178          218
       400        1900.0000           0.6710           0.4468           0.2898         150.0000          181          218
       401        1900.0000           0.5903           0.4445           0.2893         150.0000          181          218
       402        1950.0000           0.5921           0.4474           0.2938         150.0000          180          218
       403        1450.0000           0.7766           0.4478           0.3048         200.0000          191          219
       404        1450.0000           0.7604           0.4489           0.3006         200.0000          191          219
       405        1450.0000           0.7464           0.4490           0.2933         150.0000          191          219
       406        1650.0000           0.6462           0.4482           0.2867         150.0000          187          219
       407        1700.0000           0.6631           0.4502           0.2882         200.0000          187          220
       408        1800.0000           0.6972           0.4526           0.2859         150.0000          185          220
       409        1900.0000           0.6535           0.4538           0.2833         150.0000          183          220
       410        2050.0000           0.5479           0.4549           0.2858         200.0000          181          221
       411        1850.0000           0.5671           0.4555           0.2791         150.0000          185          221
       412        1850.0000           0.5300           0.4523           0.2778         200.0000          185          221
       413        1600.0000           0.6102           0.4515           0.2683         150.0000          190          221
       414        1650.0000           0.6566           0.4497           0.2710         200.0000          190          222
       415        1650.0000           0.6658           0.4493           0.2636         200.0000          190          222
       416        1600.0000           0.6105           0.4468           0.2561         150.0000          190          221
       417        1650.0000           0.5011           0.4478           0.2597         150.0000          190          222
       418        1650.0000           0.5572           0.4509           0.2599         150.0000          190          222
       419        1650.0000           0.5735           0.4506           0.2645         150.0000          190          222
       420        1650.0000           0.5274           0.4543           0.2740         150.0000          190          222
       421        1650.0000           0.5296           0.4577           0.2906         200.0000          191          223
       422        1650.0000           0.5194           0.4604           0.3031         200.0000          191          223
       423        1300.0000           0.6442           0.4631           0.3119         150.0000          198          223
       424        1250.0000           0.6627           0.4644           0.3214         150.0000          199          223
       425        1500.0000           0.6125           0.4671           0.3323         200.0000          195          224
       426        1300.0000           0.7262           0.4688           0.3434         200.0000          199          224
       427        1250.0000           0.7839           0.4702           0.3489         200.0000          200          224
       428        1650.0000           0.6588           0.4713           0.3407         200.0000          192          224
       429        1700.0000           0.6692           0.4735           0.3464         200.0000          192          225
       430        1550.0000           0.7270           0.4764           0.3563         200.0000          195          225
       431        1600.0000           0.7001           0.4786           0.3607         200.0000          194          225
       432        1050.0000           1.0997           0.4803           0.4010         200.0000          205          225
       433        1550.0000           0.7928           0.4815           0.3713         250.0000          196          226
       434        1550.0000           0.6864           0.4825           0.3725         200.0000          196          226
       435        1050.0000           0.8368           0.4837           0.4091         200.0000          206          226
       436        1050.0000           0.9488           0.4840           0.4087         200.0000          206          226
       437        1050.0000           1.0365           0.4839           0.4134         250.0000          207          227
       438        1050.0000           1.1606           0.4830           0.4113         200.0000          207          227
       439        1700.0000           0.7961           0.4831           0.3634         200.0000          194          227
